Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
35510.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,666666.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,128.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25734.0,84.0,2.0,2.0,4.0,12.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,190476.1905,47619.04762,28.0,22.27105745,48.0,4.0,48.0,48.0,0.0,48.0,48.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,48.0,40.0,23809.52381,23809.52381,2.0,6.0,3.6,2.19089023,4.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.5,2.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,12.0,1024.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53.0,240.0,2.0,2.0,68.0,292.0,34.0,34.0,34.0,0.0,146.0,146.0,146.0,0.0,1500000.0,16666.66667,80.0,86.75828491,178.0,13.0,13.0,13.0,0.0,13.0,13.0,49.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,64.0,64.0,8333.333333,8333.333333,34.0,146.0,78.8,61.34492644,3763.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.5,34.0,146.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,2.0,292.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53.0,48009.0,1.0,1.0,55.0,110.0,55.0,55.0,55.0,0.0,110.0,110.0,110.0,0.0,3436.85559,41.65885563,48009.0,0.0,48009.0,48009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.82942782,20.82942782,55.0,110.0,73.33333333,31.75426481,1008.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,55.0,110.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,1.0,110.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40382.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37037.037037037,54.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,18518.5185185185,18518.5185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,115.0,332.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53.0,154016.0,4.0,2.0,192.0,250.0,48.0,48.0,48.0,0.0,125.0,125.0,125.0,0.0,2869.831706,38.95699148,30803.2,47793.4454,108798.0,1.0,108802.0,36267.33333,62813.39989,108798.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,104.0,40.0,25.97132765,12.98566383,48.0,125.0,70.0,37.57215281,1411.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.66666667,48.0,125.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,192.0,2.0,250.0,-1.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
53.0,946.0,2.0,2.0,60.0,184.0,30.0,30.0,30.0,0.0,92.0,92.0,92.0,0.0,257928.1184,4228.32981,315.3333333,504.2859638,897.0,1.0,1.0,1.0,0.0,1.0,1.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,40.0,40.0,2114.164905,2114.164905,30.0,92.0,54.8,33.95879857,1153.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.5,30.0,92.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,2.0,184.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
443.0,115787149.0,22.0,18.0,894.0,4419.0,462.0,0.0,40.63636364,111.5776669,1418.0,0.0,245.5,476.4456947,45.88592124,0.345461481,2968901.256,4528741.127,10000000.0,4.0,116000000.0,5513673.762,4962640.459,10100000.0,4.0,111000000.0,6541270.059,4894906.72,10100000.0,48.0,0.0,0.0,0.0,0.0,712.0,584.0,0.190003815,0.155457667,0.0,1418.0,129.5853659,337.3853861,113828.8988,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,132.825,40.63636364,245.5,712.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,894.0,18.0,4419.0,29200.0,357.0,4.0,32.0,99466.18182,205454.922,718852.0,36203.0,10000000.0,5125.789135,10000000.0,9999085.0,0
1641.0,66.0,2.0,2.0,4.0,12.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,242424.2424,60606.06061,22.0,23.89560629,48.0,1.0,1.0,1.0,0.0,1.0,1.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,40.0,30303.0303,30303.0303,2.0,6.0,3.6,2.19089023,4.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.5,2.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,12.0,1024.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80.0,1084459.0,5.0,5.0,758.0,2380.0,746.0,0.0,151.6,332.293244,1184.0,0.0,476.0,646.3172596,2893.608703,9.221187707,120495.4444,248919.006,763032.0,15.0,321412.0,80353.0,110046.693,243270.0,996.0,1045631.0,261407.75,349681.3569,763032.0,5133.0,0.0,0.0,0.0,0.0,124.0,112.0,4.610593854,4.610593854,0.0,1184.0,285.2727273,496.506413,246518.6182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,313.8,151.6,476.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,758.0,5.0,2380.0,8192.0,32.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
